"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
0.486830008353293;"+";NA;NA;-0.503557698051509;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-188.871645791448;390.656335061156;4.55175414359343;0.00789504773699968
0.354013940243523;"+";NA;-0.160831630258813;-0.190994040450028;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-186.555277404501;390.710554809003;4.60597389143993;0.00768388916174916
0.544393566684743;"+";-0.234252491199189;-0.147683265999004;-0.379288642992571;NA;NA;NA;NA;0.282614353264782;-0.429018875052074;NA;NA;NA;NA;NA;NA;NA;9;-185.373415369062;390.769302648237;4.66472173067416;0.00746146593269423
0.179669045629212;"+";-0.23239987164409;-0.171786296976856;-0.0476140890200758;NA;NA;"+";NA;NA;-0.094836408297007;NA;NA;NA;NA;NA;NA;NA;9;-185.405497816316;390.833467542745;4.72888662518204;0.00722588308899625
0.252163853662888;"+";-0.113954614683915;-0.208371404777213;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-186.631425958467;390.862851916933;4.75827099937084;0.00712049514815243
0.217630357835289;"+";-0.178645850753583;-0.171296402628091;-0.0789383290611808;NA;NA;"+";NA;0.064126502835271;NA;NA;NA;NA;NA;NA;NA;NA;9;-185.440625498852;390.903722907816;4.79914199025342;0.00697646101887527
0.382872210738674;"+";-0.181208232651294;-0.165502774161362;-0.255139693003615;NA;NA;NA;NA;NA;-0.154318269788528;NA;NA;NA;NA;NA;NA;NA;8;-186.653883133338;390.907766266676;4.80318534911351;0.00696237109858892
-0.356644030141996;NA;NA;NA;0.0582265488253379;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-191.245371960163;390.916275835219;4.81169491765598;0.0069328106428241
0.0589913382599063;"+";-0.216133582528604;-0.179937853422925;-0.00872839075907687;"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-185.453840384145;390.930152678402;4.82557176083975;0.00688487437310288
0.19430661646654;"+";-0.324370967087465;-0.175763200249725;-0.0543449522015002;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-185.477093305669;390.97665852145;4.87207760388765;0.00672662790617747
-0.345014421012296;NA;0.0660241884341125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-191.314450933655;391.054433782203;4.94985286464021;0.00647006615698241
0.157209145868256;"+";NA;NA;-0.154413409048514;"+";NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-186.746502110452;391.093004220904;4.98842330334162;0.00634648498708141
-0.35982107087755;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-191.339659086161;391.104850087216;5.00026916965317;0.00630900628222685
0.350139663177501;"+";-0.270333386487119;-0.153813478326468;-0.181929047782398;NA;NA;"+";NA;0.262297635234985;-0.35475217071958;NA;NA;NA;NA;NA;NA;NA;10;-184.310516290837;391.121032581673;5.01645166411072;0.00625816451665347
0.415701544567295;"+";-0.347959176679127;-0.171713046594761;-0.275755307496249;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-186.789718739003;391.179437478006;5.0748565604431;0.00607805343348256
0.140841896104321;"+";-0.592752823853848;-0.20912183364496;NA;NA;"+";NA;NA;0.151386360448988;NA;NA;NA;NA;NA;NA;NA;NA;8;-186.803666976895;391.20733395379;5.102753036227;0.00599386381165226
1.10462912015382;"+";NA;-0.156148680722598;-0.634040611606837;"+";NA;NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;9;-185.633086940051;391.288645790214;5.18406487265162;0.00575506495976487
0.123019201964131;"+";0.297274685580669;-0.159342275961274;-0.0351144145215926;NA;"+";"+";NA;NA;-0.551448945835835;NA;NA;"+";NA;NA;NA;NA;11;-183.159999043098;391.354480844816;5.24989992725318;0.00556870650883121
-0.35114896336949;NA;NA;-0.1041760393688;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-190.363431352507;391.372023995336;5.26744307777324;0.00552007378520426
-0.330251084239781;NA;-0.000603263010746184;-0.103877635044974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-190.37143486823;391.388031026783;5.28345010922004;0.00547607011479635
-0.137610123273431;"+";0.036693216255519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-190.410272306407;391.465705903137;5.36112498557458;0.00526747053625594
