"(Intercept)";"pop";"scale(log(FGM1), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(FGM1), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(FGM1), scale = F):scale(mass1, scale = F)";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"scale(log(FGM1), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(FGM1), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(FGM1), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
-0.206266673042178;"+";0.0419949224882641;NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-121.961417406066;259.672834812132;10.1477668453003;0.000836703195695339
0.0316594097523801;"+";0.0767242700006083;-0.152614064633625;-0.0373468903212765;NA;NA;NA;NA;-0.0710845052298993;0.0803094639457071;NA;NA;NA;NA;NA;NA;NA;9;-119.460028557751;259.823282921954;10.2982149551227;0.000776072037564086
0.0918113919773635;"+";-0.139778499054905;-0.150564016208765;-0.063287009852465;NA;"+";NA;NA;-0.0725044132127646;NA;NA;NA;NA;NA;NA;NA;NA;9;-119.468378735299;259.83998327705;10.3149153102184;0.000769618679101868
-0.367836979767075;NA;0.195015941148526;-0.181189083544709;0.118672858876865;"+";NA;NA;NA;NA;0.0648706029775601;"+";NA;NA;NA;NA;NA;NA;9;-119.480770920023;259.864767646497;10.339699679666;0.000760140272642041
-0.359033178723125;NA;0.164366906915885;-0.17951499579986;0.133400759811004;"+";NA;NA;NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;9;-119.526518252782;259.956262312016;10.4311943451844;0.000726149308489451
-0.0181798424212227;"+";0.0231503260438968;-0.151171255190649;-0.000437349547486175;NA;NA;"+";NA;-0.0710665149629134;NA;NA;NA;NA;NA;NA;NA;NA;9;-119.53543290309;259.974091612631;10.4490236457998;0.000719704709685255
0.131263855964355;"+";-0.792543146024283;-0.187065106865256;-0.0541031738901462;NA;"+";"+";NA;NA;0.622015010194076;NA;NA;NA;NA;NA;NA;NA;10;-118.187798428966;259.98215423498;10.4570862681491;0.00071680919632569
-0.356755406653146;NA;0.0839496961678447;-0.184779689742694;0.144697600976717;"+";NA;NA;NA;NA;0.087651567077966;NA;"+";NA;NA;NA;NA;NA;9;-119.633679280746;260.170584367943;10.6455164011116;0.000652358739644243
0.0763738976895297;"+";-0.119810333340417;-0.153718399193727;-0.0412748927300213;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-119.674815194015;260.252856194481;10.7277882276498;0.000626067824779076
0.0606850350856233;"+";0.0997349925805256;-0.154464413647231;-0.0445288782473511;NA;NA;"+";NA;NA;0.0761796635004989;NA;NA;NA;NA;NA;NA;NA;9;-119.690790904168;260.284807614788;10.7597396479565;0.000616145416468608
0.00267602993377865;"+";-0.353159821065126;NA;-0.169901090122814;NA;"+";NA;NA;NA;0.371074225702041;NA;NA;NA;NA;NA;NA;NA;8;-121.069015086355;260.423744458424;10.8986764915925;0.000574795646106136
0.508074688035953;"+";NA;NA;-0.378748678312557;"+";NA;NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-121.268515353158;260.822744992031;11.2976770251996;0.000470838106852384
0.0971724433075154;"+";-0.664608027270101;-0.240961652337825;NA;"+";"+";NA;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;11;-117.292547389719;260.985094779438;11.4600268126064;0.000434127998937606
0.030173918522401;"+";0.301655271370398;NA;-0.161809298759997;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-121.481759740567;261.249233766849;11.7241658000177;0.000380417725024783
-0.121168187665109;"+";0.324566289451593;NA;NA;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-121.494918232345;261.275550750405;11.7504827835739;0.000375444791424128
-0.0380873720827188;"+";-0.200351563137735;-0.200458361403837;NA;"+";"+";NA;"+";-0.0757140623379432;NA;NA;NA;NA;NA;NA;NA;NA;10;-118.859494923083;261.325547223215;11.8004792563836;0.000366175672280441
0.213684837637813;"+";0.163562644645786;NA;-0.200771601561473;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-121.524155882734;261.334026051182;11.8089580843508;0.000364626587939907
-0.174327956582164;NA;0.346183730622097;NA;-0.0541727678278302;"+";NA;NA;NA;NA;0.0435698345578499;"+";NA;NA;NA;NA;NA;NA;8;-121.540719710891;261.367153707496;11.8420857406649;0.000358636720312725
-0.168102096984779;NA;0.324796261995456;NA;-0.0403841417275597;"+";NA;NA;NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;8;-121.555125829033;261.39596594378;11.8708979769488;0.000353507194341672
-0.223121037239031;"+";0.207395900637879;NA;NA;"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-121.592132548399;261.469979382513;11.9449114156814;0.000340664157806326
-0.125711082905901;"+";-0.27831815492074;-0.203914279631656;NA;"+";"+";NA;NA;-0.109001830305141;NA;"+";NA;NA;NA;NA;NA;NA;10;-118.940385079121;261.487327535291;11.9622595684598;0.000337721989621513
-0.0708845783052847;"+";-0.204530560439095;-0.198318151416461;-0.0338583320897176;"+";"+";NA;NA;-0.0817650953299956;NA;NA;NA;NA;NA;NA;NA;NA;10;-118.950204949965;261.506967276979;11.9818993101476;0.000334421833375769
0.27864676016002;"+";NA;-0.188434680917666;-0.16916725034448;"+";NA;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-118.96145151667;261.529460410389;12.0043924435575;0.000330681806571015
0.349578691651033;"+";-0.0341487054500188;-0.18937840074694;-0.213902021680787;"+";NA;NA;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;10;-118.964133281954;261.534823940957;12.0097559741256;0.000329796183629298
0.137297211077314;"+";0.0340685184980256;NA;-0.217389776108923;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-121.6309110068;261.547536299315;12.0224683324833;0.000327706587951063
-0.0538667326579822;"+";-0.0777044441995819;-0.199460687893438;NA;"+";NA;NA;"+";-0.0943335679778237;NA;"+";NA;NA;NA;NA;NA;NA;10;-118.977757009336;261.562071395722;12.0370034288906;0.000325333597880884
0.100783294780553;"+";0.200175882704387;NA;-0.198934430746421;"+";NA;NA;NA;NA;0.0550141450090313;NA;NA;NA;NA;NA;NA;NA;8;-121.642539545826;261.570793377366;12.0457254105351;0.000323917910190535
-0.00662235829538623;"+";-0.0133359962075023;-0.194894307371598;-0.0266382835198553;"+";NA;NA;"+";-0.0719640917888565;NA;NA;NA;NA;NA;NA;NA;NA;10;-118.984100580214;261.574758537476;12.0496905706451;0.000323276353181533
0.133531722084288;"+";0.167961590865471;NA;-0.188325259237919;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-121.650920001102;261.587554287919;12.0624863210874;0.000321214673628713
