(Intercept);pop;scale(log(FGMngg), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(FGMngg), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);scale(log(FGMngg), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(FGMngg), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0,197810067;+;0,033300991;1,378573057;+;+;+;+;-0,337932532;+;+;+;+;+;+;+;17;-778,64;1593,03;17,03;0
-0,064429262;NA;-0,69068539;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-816,05;1638,17;62,17;0
-0,007637712;NA;-0,683728126;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-815,95;1640,01;64,01;0
-0,041571672;+;-0,693803156;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-816,03;1640,17;64,17;0
0,005623254;NA;-0,443586474;NA;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;5;-815,11;1640,39;64,39;0
-0,048152684;+;-0,553280773;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-815,79;1641,75;65,76;0
0,013188993;+;-0,68674494;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-815,93;1642,03;66,03;0
0,035295281;+;-0,444680595;NA;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;6;-815,07;1642,38;66,38;0
0,012176851;+;-0,538796833;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-815,67;1643,58;67,58;0
0,05030708;+;-0,683493605;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;6;-815,88;1644;68;0
0,033576843;+;-0,327288108;NA;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;7;-814,88;1644,08;68,08;0
0,06029682;+;-0,445602498;NA;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;NA;7;-815,05;1644,41;68,41;0
0,056833533;+;-0,528075638;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;7;-815,6;1645,51;69,51;0
0,06542256;+;-0,323540467;NA;+;+;NA;+;NA;+;NA;NA;NA;NA;NA;NA;8;-814,84;1646,09;70,09;0
0,072666183;+;-0,151044144;NA;+;+;NA;+;NA;+;NA;NA;+;NA;NA;NA;9;-814,4;1647,31;71,31;0
-0,064429262;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;-822,73;1649,5;73,5;0
0,030118733;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-822,46;1650,99;74,99;0
-0,074064194;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-822,73;1651,52;75,53;0
0,01903081;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;-822,45;1653,02;77,02;0
0,079008966;+;NA;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;5;-822,33;1654,82;78,82;0
