"(Intercept)";"pop";"scale(log(mean_fgm), scale = F)";"scale(mass1, scale = F)";"scale(quali_coh, scale = F)";"sex";"pop:scale(log(mean_fgm), scale = F)";"pop:scale(quali_coh, scale = F)";"pop:sex";"scale(log(mean_fgm), scale = F):scale(mass1, scale = F)";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"scale(log(mean_fgm), scale = F):sex";"scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F)";"pop:scale(log(mean_fgm), scale = F):sex";"pop:scale(quali_coh, scale = F):sex";"scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"pop:scale(log(mean_fgm), scale = F):scale(quali_coh, scale = F):sex";"df";"logLik";"AICc";"delta";"weight"
0.115700417580586;"+";-0.569763919606397;-0.201370463431341;NA;NA;NA;NA;NA;0.00536042649898431;NA;NA;NA;NA;NA;NA;NA;NA;7;-90.5184343945988;197.582323334652;4.73949888172666;0.00786965986790495
0.134175264324042;"+";-0.56341933339887;-0.200898572657011;-0.0111953194091992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-90.5184553555579;197.58236525657;4.7395408036449;0.00786949491401498
-0.256983875319058;"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-93.1538002006559;197.611948227399;4.76912377447326;0.00775395004157043
-0.303679894039579;NA;NA;NA;-0.0217341989389527;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-93.1605170850895;197.625381996266;4.7825575433404;0.00770204217994979
0.0301607596222239;"+";-0.588134910996831;-0.311883255475971;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-89.1640688466142;197.676974902531;4.83415044960523;0.00750589760403836
-0.0554915732968939;"+";-0.598804394015969;-0.317710498235525;NA;"+";NA;NA;NA;-0.0137942533021882;NA;NA;NA;NA;NA;NA;NA;NA;8;-89.2497072639679;197.848251737238;5.00542728431267;0.00688985914475407
-0.0927483050933725;"+";-0.613313513489133;-0.318299137997152;0.0231002807953783;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-89.2512537497418;197.851344708786;5.00852025586039;0.00687921231031375
-0.0530894368702467;"+";-0.611517952370647;-0.316222944956002;NA;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-89.2537176524098;197.856272514122;5.01344806119639;0.00686228346482675
-0.372857000762103;NA;-0.460868201835449;-0.198597862703602;0.202172508180034;NA;NA;NA;NA;NA;0.14391014900029;NA;NA;NA;NA;NA;NA;NA;7;-90.6713763414238;197.888207228302;5.04538277537654;0.00675358108864065
-0.564977254722625;NA;NA;-0.259765743013434;0.235240671038815;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;7;-90.730018140929;198.005490827312;5.16266637438696;0.0063689275527715
-0.5178413752317;NA;-0.446607070991442;-0.206681942229541;NA;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;7;-90.7723187690969;198.090092083648;5.24726763072289;0.00610513651309244
-0.51749447805869;NA;-0.480224972539414;-0.206687530637932;NA;"+";NA;NA;NA;-0.00558131805604932;NA;NA;NA;NA;NA;NA;NA;NA;7;-90.7756753124441;198.096805170343;5.25398071741711;0.00608467871070359
-0.356015797786063;NA;-0.595855138570112;-0.197590951987985;0.205284701234924;NA;NA;NA;NA;-0.00847329417244143;NA;NA;NA;NA;NA;NA;NA;NA;7;-90.8108279023373;198.167110350129;5.32428589720354;0.00587450226117629
-0.376059997643971;"+";-3.34263033878573;-0.391604084022169;0.248284646831801;"+";"+";NA;NA;NA;1.19466726005795;NA;NA;NA;NA;NA;NA;NA;10;-86.518381916351;198.402617491239;5.5597930383131;0.00522193365025102
-0.187799963980643;"+";-3.09470477411619;-0.263417186221739;0.219689412850035;NA;"+";NA;NA;NA;1.20709308953815;NA;NA;NA;NA;NA;NA;NA;9;-88.093327299804;198.472368885322;5.62954443239673;0.00504295423119067
-0.656147945927455;NA;-0.558891637838294;-0.305046224122477;0.266494152015567;"+";NA;NA;NA;NA;0.104702226120896;NA;NA;NA;NA;NA;NA;NA;8;-89.6046395064898;198.558116222282;5.7152917693565;0.00483131360628488
-0.644539653741896;NA;-0.641085221684081;-0.305548124907305;0.290875119377113;"+";NA;NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;8;-89.6550634426715;198.658964094645;5.81613964171973;0.00459373979592429
-0.659216183553194;NA;-0.64461194404403;-0.310777377177943;0.274703792665231;"+";NA;NA;NA;-0.0319887792126761;NA;NA;NA;NA;NA;NA;NA;NA;8;-89.6603327393082;198.669502687919;5.82667823499315;0.00456959768011229
-0.653700213403377;NA;-0.592652237763818;-0.307754787204259;0.271826717881767;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;8;-89.6684770556757;198.685791320654;5.84296686772825;0.00453253257079809
0.106882995602346;"+";-0.350071112759203;NA;-0.188016423946296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.5684790363509;199.003624739368;6.16080028644294;0.003866555814307
-0.00597725027947815;"+";NA;-0.173264447541666;0.0284836367909216;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-91.2605384814312;199.066531508317;6.2237070553914;0.0037468322731726
-0.215388730195175;"+";-0.702353220137609;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.6558421872787;199.178351041224;6.33552658829856;0.00354309624161738
-0.339164437734004;NA;-0.266651809136751;NA;0.00539977863098938;NA;NA;NA;NA;NA;0.119192000400233;NA;NA;NA;NA;NA;NA;NA;6;-92.6848942265828;199.236455119832;6.39363066690666;0.00344164291893436
-0.225250861108525;"+";-0.399009446115974;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.7220652013828;199.310797069432;6.46797261650681;0.00331606213583843
-0.318005631465422;NA;-0.382971183140812;NA;0.00735540040509408;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;-92.7759902051358;199.418647076938;6.57582262401272;0.00314197936247303
-0.316717929271705;NA;-0.398316988738858;NA;NA;"+";NA;NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;6;-92.7761321623613;199.418930991389;6.57610653846376;0.00314153336745694
