"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.0395026873697552;NA;-0.187917492157728;NA;"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;7;-1278.24796802894;2570.66904270394;5.68036388035353;0.00412418469290795
-0.207222946091952;"+";-0.217748126543374;NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-1277.26994230132;2570.76279481936;5.77411599577545;0.00393532036322718
-0.16536178355886;"+";-0.246432048886524;0.0792323599294518;NA;"+";"+";NA;0.186015956931087;NA;NA;"+";NA;NA;NA;NA;11;-1274.17804284091;2570.76666110951;5.77798228592019;0.00392772016656702
-0.193224612498288;"+";-0.156601538279019;0.268112678394792;"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;10;-1275.21705154129;2570.77571798942;5.78703916583254;0.00390997393333038
-0.191113049242982;"+";-0.175377637667123;0.285423506131632;"+";NA;NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;10;-1275.22704614661;2570.79570720005;5.80702837646231;0.00387108992591219
-0.183014136252687;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;-1280.37511485388;2570.84267963071;5.85400080712225;0.00378123201591017
-0.18522503683293;"+";-0.221569398737618;0.270743530775975;"+";NA;NA;NA;0.0702455281159413;NA;"+";NA;NA;NA;NA;NA;10;-1275.25580660104;2570.85322810892;5.86454928533294;0.00376134139420198
-0.185809922740458;"+";-0.219173598588329;0.257793690624496;"+";"+";NA;NA;0.0696604467553015;NA;NA;NA;NA;NA;NA;NA;10;-1275.26093454563;2570.86348399808;5.8748051744974;0.0037421028133238
-0.232706509932176;"+";-0.222255923386071;0.101821456409576;"+";NA;"+";"+";0.0959836019637739;NA;NA;NA;NA;NA;NA;NA;11;-1274.23805922658;2570.88669388084;5.89801505725563;0.00369892694083209
-0.238971141113463;"+";-0.207324344269355;0.262446038173739;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;10;-1275.31856962434;2570.97875415552;5.99007533193117;0.00353252398109975
