"(Intercept)";"pop";"scale(log(FGMngg), scale = F)";"scale(rel_cohort_quality, scale = F)";"sexe";"pop:scale(log(FGMngg), scale = F)";"pop:scale(rel_cohort_quality, scale = F)";"pop:sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"scale(log(FGMngg), scale = F):sexe";"scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F)";"pop:scale(log(FGMngg), scale = F):sexe";"pop:scale(rel_cohort_quality, scale = F):sexe";"scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"pop:scale(log(FGMngg), scale = F):scale(rel_cohort_quality, scale = F):sexe";"df";"logLik";"AICc";"delta";"weight"
-0.220712795784246;"+";NA;0.293591697174441;"+";NA;NA;"+";NA;NA;"+";NA;NA;NA;NA;NA;9;-1278.3392135373;2574.95749684205;9.96881801846394;0.000483183529613105
-0.231737887730795;"+";-0.229661041289373;0.0997351048228572;"+";"+";"+";"+";0.098428058560254;NA;"+";NA;NA;NA;NA;NA;13;-1274.23506780604;2575.03799832659;10.0493195030049;0.000464121243019104
-0.259478252345375;"+";-0.265028051599283;0.0481305273310445;"+";"+";"+";"+";-0.0546334613454569;"+";"+";"+";NA;"+";"+";NA;17;-1270.104401414;2575.16955636019;10.180877536598;0.000434574243361875
-0.244668825209339;"+";-0.157189408446738;0.134134267287229;"+";"+";"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;13;-1274.30665974503;2575.18118220457;10.1925033809835;0.000432055425038302
-0.259378271597619;"+";-0.240466879296228;0.116760740257606;"+";"+";"+";"+";-0.0708656686035835;"+";"+";"+";"+";NA;"+";NA;17;-1270.24870319557;2575.45815992332;10.4694810997325;0.000376178971937993
-0.274982721148472;"+";-0.238720482145917;0.0795432909056557;"+";"+";"+";"+";-0.151464213650427;"+";"+";NA;"+";"+";"+";NA;17;-1270.25241931296;2575.4655921581;10.4769133345108;0.000374783640931606
-0.228308213590135;"+";NA;0.147514491791095;"+";NA;"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;10;-1277.57922115605;2575.50005721892;10.5113783953361;0.000368380500056672
-0.25264106107408;"+";-0.240278128671954;NA;"+";"+";NA;"+";NA;"+";NA;NA;"+";NA;NA;NA;11;-1276.68405372934;2575.77868288637;10.7900040627842;0.000320474765289241
-0.236743107560518;"+";-0.177598061366777;0.00880088405392263;"+";NA;"+";"+";0.0979386144721941;"+";"+";NA;NA;"+";NA;NA;14;-1273.57361369465;2575.8034773893;10.8147985657097;0.000316526284760135
-0.227687596498645;"+";-0.226331158944697;0.260549623647436;"+";"+";NA;"+";0.0534973947595965;"+";NA;NA;"+";NA;NA;NA;13;-1274.72983968136;2576.02754207722;11.0388632536365;0.000282979354415823
-0.236646542251897;"+";-0.23389362611784;-0.00379524324943726;"+";"+";"+";"+";0.102595718338767;NA;"+";NA;NA;"+";NA;NA;14;-1273.74808461014;2576.15241922029;11.1637403967006;0.000265850832352496
-0.235182988263261;"+";-0.221541929398744;0.273911379880228;"+";"+";NA;"+";NA;"+";"+";NA;"+";NA;NA;NA;13;-1274.81833454735;2576.2045318092;11.2158529856174;0.000259013213143759
-0.231095265050371;"+";-0.236154653630839;0.103250688186031;"+";"+";"+";"+";0.0817133564419495;"+";NA;NA;"+";NA;NA;NA;14;-1273.7777244987;2576.21169899739;11.2230201738039;0.000258086676080998
-0.214900258618462;"+";-0.18779149797719;0.0797681483242371;"+";"+";"+";"+";0.199601639270649;"+";NA;"+";NA;NA;NA;NA;14;-1273.80360932806;2576.26346865612;11.274789832532;0.000251491867476657
-0.180033849721012;"+";-0.189182189927229;0.0791880737442918;"+";"+";"+";NA;0.201885679685008;"+";"+";"+";NA;NA;NA;NA;14;-1273.87224287971;2576.40073575943;11.4120569358415;0.000234810099747408
-0.249884546066876;"+";-0.165703237876289;0.0386968869729591;"+";"+";"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;14;-1273.88989328768;2576.43603657535;11.447357751767;0.000230701967450945
-0.227047015771318;"+";-0.16698394261398;0.273827202514534;"+";"+";NA;"+";0.0674892012633017;"+";"+";NA;NA;NA;NA;NA;13;-1274.94655233239;2576.46096737929;11.4722885557017;0.000227844024403445
-0.242704956277079;"+";-0.230438739846191;0.120155108997155;"+";"+";"+";"+";NA;"+";"+";NA;"+";NA;NA;NA;14;-1273.98383308868;2576.62391617737;11.6352373537779;0.000210016666597251
-0.233877535392657;"+";NA;0.0492136607529192;"+";NA;"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;11;-1277.12592453533;2576.66242449834;11.673745674751;0.00020601165231598
-0.230957244473428;"+";-0.176133430005038;0.106209830792755;"+";"+";"+";"+";0.0963034788134327;"+";"+";NA;NA;NA;NA;NA;14;-1274.0131384369;2576.6825268738;11.6938480502122;0.000203951362051252
-0.218857937044557;"+";-0.246090428637626;0.076653763802926;"+";"+";"+";"+";0.182456953392099;NA;"+";"+";NA;NA;NA;NA;14;-1274.09394905202;2576.84414810405;11.8554692804601;0.000188118282829507
-0.260413823463363;"+";-0.248102301836153;0.0530138966060005;"+";"+";"+";"+";-0.0570088497653704;"+";"+";"+";"+";"+";"+";NA;18;-1270.08383089424;2577.24313348659;12.2544546630002;0.000154096377980608
-0.248001863836812;"+";-0.241529434716253;0.0217023729396982;"+";"+";"+";"+";NA;"+";"+";NA;"+";"+";NA;NA;15;-1273.54548981486;2577.84215333864;12.8534745150496;0.000114213363833122
-0.235734985017967;"+";-0.185721134478484;0.0066250120342402;"+";"+";"+";"+";0.100502364224863;"+";"+";NA;NA;"+";NA;NA;15;-1273.57035073786;2577.89187518465;12.9031963610628;0.00011140891917265
-0.215400785965025;"+";-0.245486862957543;0.0808594078036062;"+";"+";"+";"+";0.181949251077799;"+";NA;"+";"+";NA;NA;NA;15;-1273.58132267013;2577.91381904918;12.9251402255941;0.000110193229485852
-0.22292439289591;"+";-0.251615288193872;-0.030893227629394;"+";"+";"+";"+";0.19291087162937;NA;"+";"+";NA;"+";NA;NA;15;-1273.58543273174;2577.9220391724;12.9333603488158;0.000109741257975192
-0.227346150010572;"+";-0.225319304836244;0.267803124255235;"+";"+";NA;"+";0.0533904886634448;"+";"+";NA;"+";NA;NA;NA;14;-1274.7282002735;2578.11265054701;13.1239717234203;9.97652281719359e-05
-0.231321683725429;"+";-0.236812944178542;0.0982550437889432;"+";"+";"+";"+";0.0818374280856781;"+";"+";NA;"+";NA;NA;NA;15;-1273.77703772475;2578.30524915842;13.3165703348304;9.06059968984763e-05
-0.214934269121524;"+";-0.187877704292581;0.0787600336534086;"+";"+";"+";"+";0.199699103340058;"+";"+";"+";NA;NA;NA;NA;15;-1273.80358164051;2578.35833698994;13.3696581663521;8.82325979525961e-05
-0.236190161924703;"+";-0.248456189622134;-0.00335350797777274;"+";"+";"+";"+";0.0856382150538779;"+";"+";NA;"+";"+";NA;NA;16;-1273.31904813607;2579.49076084893;14.5020820253458;5.00871534242934e-05
-0.219150756271521;"+";-0.19812109617618;-0.0238919160283153;"+";"+";"+";"+";0.208196786123644;"+";"+";"+";NA;"+";NA;NA;16;-1273.34325097842;2579.53916653365;14.5504877100648;4.88894542724834e-05
-0.215715639585755;"+";-0.246757101996764;0.0718039231041248;"+";"+";"+";"+";0.182666759703787;"+";"+";"+";"+";NA;NA;NA;16;-1273.57910896018;2580.01088249715;15.0222036735672;3.86174301339061e-05
-0.220033697189248;"+";-0.259003604813983;-0.0327894535398939;"+";"+";"+";"+";0.190747539390261;"+";"+";"+";"+";"+";NA;NA;17;-1273.10413285877;2581.16901924973;16.1803404261436;2.16419888540431e-05
