(Intercept);pop;scale(log(fgm1), scale = F);scale(rel_cohort_quality, scale = F);sexe;pop:scale(log(fgm1), scale = F);pop:scale(rel_cohort_quality, scale = F);pop:sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);scale(log(fgm1), scale = F):sexe;scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F);pop:scale(log(fgm1), scale = F):sexe;pop:scale(rel_cohort_quality, scale = F):sexe;scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;pop:scale(log(fgm1), scale = F):scale(rel_cohort_quality, scale = F):sexe;df;logLik;AICc;delta;weight
-0.186024589450896;+;-0.178040740657605;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-654.248367490916;1322.82907919548;5.93471842086274;0.00647685574940258
-0.156335269690617;+;-0.0602000084015336;0.28341809257797;NA;+;NA;NA;0.505906127390153;NA;NA;NA;NA;NA;NA;NA;9;-652.162176784958;1322.86166700275;5.96730622813334;0.00637217760964073
0.0827632010598975;+;0.0178722930834782;0.367348512091364;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;9;-652.218747735136;1322.97480890311;6.0804481284888;0.00602170423597931
0.128025885092592;+;0.11163712545144;0.230128283241412;+;NA;NA;+;0.545386484443564;NA;NA;NA;NA;NA;NA;NA;10;-651.187381926666;1323.03344648806;6.13908571344246;0.00584771813325169
-0.188723514801906;+;-0.0209426147099647;0.407762686372954;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-653.376964554082;1323.18250053674;6.288139762117;0.00542774899417302
-0.0937304494139062;+;-0.020380042337952;0.38944679402091;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-653.415980822576;1323.26053307372;6.36617229910485;0.0052200565210658
-0.0719264191839617;+;-0.112313991168401;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-654.473205975145;1323.27875616394;6.38439538931971;0.00517270976920457
0.079757138618349;NA;0.218594845347912;0.279887458641252;+;NA;NA;NA;0.413371868424972;+;NA;NA;NA;NA;NA;NA;9;-652.414021042516;1323.36535551787;6.47099474324864;0.00495351292926347
-0.171260317878564;+;0.0578784590038679;0.317674819672951;NA;NA;+;NA;0.509274995432784;NA;NA;NA;NA;NA;NA;NA;9;-652.496177661851;1323.52966875654;6.63530798191914;0.00456281787730242
0.113277942642917;+;0.128869869796242;NA;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;NA;9;-652.505733838383;1323.5487811096;6.65442033498243;0.00451942246155241
